url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at,num_ampersand,num_percent,num_digits,domain_length,subdomain_length,tld_length,subdomain_count,path_depth,num_params,has_ip,has_port,is_https,entropy,suspicious_word_count,brand_in_subdomain,brand_in_path,suspicious_tld,is_shortened,special_char_ratio,label
40,31,1,0,2,1,0,3,0,0,0,0,0,1,11,15,3,1,0,0,0,0,1,4.225070520364182,0,0,0,0,0,0.175,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.21052631578947367,0
175,15,108,43,2,4,0,7,1,3,0,2,0,13,6,4,3,1,5,3,0,0,1,5.534472790481283,0,0,0,0,0,0.12571428571428572,1
22,6,8,0,1,0,0,3,0,0,0,0,0,3,3,0,2,0,1,0,0,0,1,4.027169118440616,0,0,0,0,0,0.22727272727272727,1
26,18,0,0,2,0,0,2,0,0,0,0,0,0,6,7,3,1,0,0,0,0,1,3.661226256269789,1,0,0,0,0,0.19230769230769232,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.4039894464852614,0,0,0,0,0,0.19047619047619047,0
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.6424896731661263,0,0,0,0,0,0.21739130434782608,0
27,18,1,0,2,0,0,3,0,0,0,0,0,0,3,10,3,1,0,0,0,0,1,3.7639657428240816,0,0,0,0,0,0.2222222222222222,1
37,28,1,0,2,1,0,3,0,0,0,0,0,7,11,12,3,1,0,0,0,0,1,4.3374354600481295,0,0,0,0,0,0.1891891891891892,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.375,0,0,0,0,0,0.25,0
38,29,1,0,2,2,0,3,0,0,0,0,0,0,6,18,3,1,0,0,0,0,1,4.023471592049353,0,0,0,0,0,0.21052631578947367,1
29,21,0,0,2,0,0,2,0,0,0,0,0,0,13,3,3,1,0,0,0,0,1,4.1162646156680225,0,0,0,0,0,0.1724137931034483,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.7544418457133446,0,0,0,0,0,0.22727272727272727,0
60,23,30,0,4,0,0,6,0,0,0,0,0,1,6,4,11,1,4,0,0,0,0,4.21882038702278,0,0,0,0,0,0.18333333333333332,1
46,10,5,0,2,0,0,4,0,0,1,0,0,0,5,0,4,0,1,0,0,0,0,3.705111075801696,0,0,0,0,0,0.1956521739130435,1
40,33,0,0,2,1,0,2,0,0,0,0,0,8,13,15,3,1,0,0,0,0,0,4.262814895472355,0,0,0,0,0,0.15,1
69,16,45,0,2,2,0,5,0,0,0,0,2,2,6,5,3,1,3,0,0,0,1,4.573882204431347,0,0,0,0,0,0.17391304347826086,1
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.7849418274376423,0,0,0,0,0,0.23809523809523808,0
32,23,1,0,2,0,0,3,0,0,0,0,0,1,8,10,3,1,0,0,0,0,1,4.015319531114783,0,0,0,0,0,0.1875,1
29,20,1,0,2,1,0,3,0,0,0,0,0,0,3,12,3,1,0,0,0,0,1,3.9952378913808873,0,0,0,0,0,0.2413793103448276,1
34,26,0,0,2,0,0,2,0,0,0,0,0,0,11,10,3,1,0,0,0,0,1,4.043057694064253,0,0,0,0,0,0.14705882352941177,1
25,17,0,0,1,0,0,2,0,0,0,0,0,0,13,0,3,0,0,0,0,0,1,4.053660689688185,0,0,0,0,0,0.16,0
54,17,29,0,2,0,0,3,0,0,0,0,0,4,7,5,3,1,1,0,0,0,1,4.877404576510614,0,0,0,0,0,0.1111111111111111,1
35,26,1,0,2,0,0,3,0,0,0,0,0,0,11,10,3,1,0,0,0,0,1,4.114718016821339,0,0,0,0,0,0.17142857142857143,1
20,12,1,0,3,0,0,3,0,0,0,0,0,9,12,0,0,0,0,0,1,0,0,3.308694969562842,0,0,0,0,0,0.35,1
83,74,1,0,3,0,0,3,0,0,0,0,0,9,4,64,4,2,0,0,0,0,1,4.7545154137081544,0,0,0,0,0,0.08433734939759036,1
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.6537567082870006,0,0,0,0,0,0.23809523809523808,0
17,9,0,0,1,0,0,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,3.337175341123077,0,0,0,0,0,0.23529411764705882,0
25,17,0,0,2,0,0,2,0,0,0,0,0,0,5,7,3,1,0,0,0,0,1,3.6692750707107122,0,0,0,0,0,0.2,0
27,19,0,0,2,0,0,2,0,0,0,0,0,0,6,8,3,1,0,0,0,0,1,3.9400726873486547,0,0,0,0,0,0.18518518518518517,0
54,16,31,0,2,0,0,6,0,0,0,0,0,2,12,0,3,0,4,0,0,0,0,4.150643233958086,0,0,0,0,0,0.16666666666666666,1
67,58,1,0,2,0,0,3,0,0,0,0,0,0,6,47,3,1,0,0,0,0,1,4.169797028209102,0,0,0,0,0,0.08955223880597014,1
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.8801799226757367,0,0,0,0,0,0.19047619047619047,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.5585186130489057,0,0,0,0,0,0.23809523809523808,0
34,25,1,0,2,0,0,3,0,0,0,0,0,7,11,9,3,1,0,0,0,0,1,4.29277019393699,0,0,0,0,0,0.17647058823529413,1
34,25,1,0,2,0,0,3,0,0,0,0,0,0,8,12,3,1,0,0,0,0,1,4.094097032108653,0,0,0,0,0,0.17647058823529413,1
23,8,7,0,2,0,0,3,0,0,0,0,0,0,3,1,2,1,1,0,0,0,1,3.9690016298759936,0,0,0,0,0,0.2608695652173913,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,6,4,3,1,0,0,0,0,1,3.7950885863977324,0,0,0,0,0,0.21739130434782608,0
39,26,5,0,2,1,0,4,0,0,0,0,0,0,7,15,2,1,1,0,0,0,1,3.9772086288967645,1,0,0,0,0,0.20512820512820512,1
23,4,11,0,1,0,0,3,0,0,0,0,0,2,1,0,2,0,1,0,0,0,1,3.936180434129756,0,0,0,0,0,0.21739130434782608,1
34,26,1,0,3,0,0,3,0,0,0,0,0,0,6,12,6,1,0,0,0,0,0,3.8665871058289594,0,0,0,0,0,0.20588235294117646,1
62,43,11,0,3,1,0,3,0,0,0,0,0,15,2,36,3,1,1,0,0,0,1,4.614913045231109,0,0,0,0,0,0.12903225806451613,1
35,28,0,0,2,1,0,2,0,0,0,0,0,5,8,15,3,1,0,0,0,0,0,4.226150431961056,0,0,0,0,0,0.17142857142857143,1
25,17,0,0,1,0,0,2,0,0,0,0,0,0,13,0,3,0,0,0,0,0,1,4.023465189601646,0,0,0,0,0,0.16,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.7254805569978675,0,0,0,0,0,0.2222222222222222,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.5585186130489057,0,0,0,0,0,0.19047619047619047,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.7887549139935026,0,0,0,0,0,0.22727272727272727,0
45,36,1,0,2,2,0,3,0,0,0,0,0,6,6,25,3,1,0,0,0,0,1,4.374860596185444,0,0,0,0,0,0.17777777777777778,1
21,6,7,0,1,1,0,3,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,3.939470994001286,0,0,0,0,0,0.2857142857142857,1
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.5766176449086653,0,0,0,0,0,0.2631578947368421,0
